ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,Starts,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,GP,GS,W,L,SV,BS,HLD,IP,HA,HRA,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc,Year,Notes
34453,SP,13,ABE BOWER,,17,USA,"Omaha, NE","5' 10""",150 lbs,Left,Left,Falls City,Arkansas A&T,Average,HS Senior,3,NEU,83-85 Mph,Normal (3/4),Normal,23,23,115,109,42,9,2,0,21,29,2,6,11,0.385,0.395,0.505,21.9,8,0.119,0.386,0.899,0.4,0,0.7,0,8,4,12,12,7,1,0,0,0,80.1,70,3,21,20,18,87,2.24,0.288,1.1,10.2,0.3,7.8,2,9.7,4.8,0,0,0,0,2.3,0,3.1,3.2,Slot,Normal,Average,1935,
34583,SP,21,AL CASH,,16,USA,"West Reading, PA","6' 3""",165 lbs,Switch,Right,Totowa,-,Average,HS Sophomore,3,NEU,88-90 Mph,Over the Top,Normal,8,8,40,36,13,6,1,0,8,10,1,3,7,0.361,0.375,0.583,8.3,8.6,0.222,0.397,0.958,0.371,0,0.3,0,2,1,12,12,6,2,0,0,0,83,64,3,24,20,32,96,2.17,0.265,1.16,10.4,0.3,6.9,3.5,10.4,3,0,0,0,0,2.51,0,2.9,3,Slot,Extremely Hard,Average,1935,
34475,SP,9,AL JONES,,21,USA,"Nashville, TN","5' 9""",140 lbs,Left,Left,Central Ohio,-,Great,CO Junior,3,NEU,90-92 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,9,3,0,0,0,110.2,92,8,38,36,47,141,2.93,0.313,1.26,11.3,0.7,7.5,3.8,11.5,3,0,0,0,0,2.87,0,3.3,3.3,$1k,Normal,Average,1935,
34166,SP,25,AL KELLY,,20,USA,"Dallas, TX","5' 10""",170 lbs,Right,Right,Mississippi A&M,-,Great,CO Sophomore,4,NEU,83-85 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,3,5,0,0,0,95.1,119,15,71,69,51,38,6.51,0.307,1.78,16.1,1.4,11.2,4.8,3.6,0.7,0,0,0,0,6.08,0,-1,-1.1,Slot,Extremely Hard,Average,1935,
34572,SS,16,AL TERRY,,16,USA,"Bessemer, AL","5' 10""",145 lbs,Right,Right,Montevallo,-,Average,HS Sophomore,1,EX FB,80-83 Mph,Normal (3/4),Normal,23,23,115,106,51,11,5,0,30,41,6,4,16,0.481,0.518,0.679,44.7,20.4,0.198,0.511,1.197,0.5,0,1.9,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
34224,SP,96,AL WHITAKER,,14,USA,"Cleveland, OK","6' 0""",155 lbs,Right,Right,Locust Grove,-,Average,HS Freshman,3,NEU,85-87 Mph,Normal (3/4),Normal,7,7,39,36,13,7,1,0,11,12,0,3,8,0.361,0.368,0.611,7.6,7.3,0.25,0.397,0.98,0.382,0,0.3,0,7,3,12,12,7,2,0,0,0,85.2,69,3,23,22,33,87,2.31,0.255,1.19,11,0.3,7.2,3.5,9.1,2.6,0,0,0,0,2.88,0,2.5,3.4,Slot,Extremely Hard,Average,1935,
34510,SS,13,ALEX GERALD,,16,USA,"New Orleans, LA","6' 3""",170 lbs,Right,Right,New Orleans Military and Maritime Academy,-,Average,HS Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,26,26,133,115,49,11,2,0,25,39,14,4,13,0.426,0.481,0.557,33.6,13,0.13,0.451,1.038,0.43,0,1.6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
35526,SP,10,ALLAN MILLIGAN,,21,USA,"Philadelphia, PA","6' 2""",185 lbs,Right,Right,Ridgely College,-,Good,CO Junior,3,NEU,84-86 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,4,6,0,0,0,98.2,119,10,62,60,48,36,5.47,0.305,1.69,15.2,0.9,10.9,4.4,3.3,0.8,0,0,0,0,5.25,0,-0.1,0,Slot,Easy,Average,1935,
36466,SP,5,ANDY BOYER,RAGS,20,USA,"Detroit, MI","6' 1""",175 lbs,Right,Right,CC Los Angeles,-,Great,CO Sophomore,2,EX GB,83-85 Mph,Normal (3/4),Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,1,17,0,0,30.2,30,1,13,12,10,20,3.52,0.309,1.3,12.3,0.3,8.8,2.9,5.9,2,0,0,0,0,3.49,0,0.3,0.3,Slot,Extremely Hard,Average,1935,
36761,C,4,ANDY CROUCH,,20,USA,"Oakland, CA","6' 1""",205 lbs,Right,Right,Lane State,-,Great,CO Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,47,47,236,209,55,9,1,0,31,39,23,24,10,0.263,0.343,0.316,25.6,4.3,0.053,0.305,0.659,0.296,0,-0.2,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average,1935,
