ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM
34041,C,5,ADAM ABRAHAM,,17,USA,"Rutherfordton, NC","5' 10""",170 lbs,Right,Right,Rutherfordton,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,45,45,230,189,77,21,4,3,49,64,31,11,28,0.407,0.489,0.608,61.6,13.5,0.201,0.468,1.098,0.411,0,3,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
38144,SP,19,MONK ADAMS,,17,USA,"Albany, NY","6' 2""",170 lbs,Right,Right,Schenectady,-,Average,HS Junior,3,GB,87-89 Mph,Normal (3/4),Groundballer,38,38,197,185,69,24,3,0,46,49,1,14,27,0.373,0.376,0.535,37.2,7.6,0.162,0.382,0.911,0.392,0,1.1,0,20,9,39,26,15,2,2,0,0,200.2,138,3,38,29,42,243,1.3,0.258,0.9,8.3,0.1,6.2,1.9,10.9,5.8,0,0,0,0,1.66,0,9.4,9.7,Slot
34013,SP,19,CHARLIE AGANI,,17,USA,"Dickson, TN","5' 7""",130 lbs,Right,Right,Bowling Green,-,Average,HS Junior,3,NEU,84-86 Mph,Normal (3/4),Normal,49,49,248,236,87,19,4,4,50,73,4,13,27,0.369,0.374,0.534,47.8,8,0.165,0.381,0.908,0.374,0,1.4,0,13,5,32,18,7,4,0,0,0,138.1,120,5,46,41,53,142,2.67,0.279,1.25,11.5,0.3,7.8,3.4,9.2,2.7,0,0,0,0,2.83,0,3.8,4,Slot
33629,3B,3,JAKE ALLEN,,17,USA,"Winston-Salem, NC","6' 0""",175 lbs,Right,Right,Cramerton,-,Average,HS Junior,1,FB,80-83 Mph,Over the Top,Normal,24,24,121,99,45,10,2,3,31,39,16,6,15,0.455,0.529,0.687,39.1,17.3,0.232,0.507,1.216,0.457,0,2,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34226,SP,1,TOM ALLISON,,17,USA,"Cherryville, NC","5' 10""",145 lbs,Right,Right,Spartanburg,-,Average,HS Junior,3,NEU,84-86 Mph,Normal (3/4),Normal,27,27,135,127,45,10,0,1,30,32,2,12,11,0.354,0.364,0.457,21.7,6.5,0.102,0.349,0.82,0.379,0,0.4,0,7,3,26,26,14,6,0,0,0,203.1,177,7,69,63,88,162,2.79,0.259,1.3,11.8,0.3,7.8,3.9,7.2,1.8,0,0,0,0,3.37,0,4.6,6.3,Slot
34496,CF,2,FELIX ANDERSON,,17,USA,"Dayton, OH","5' 10""",160 lbs,Right,Right,Bucyrus,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,72,72,370,307,124,37,14,7,74,103,33,18,58,0.404,0.486,0.684,117.3,15.7,0.28,0.487,1.17,0.408,0,5.5,0,57,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34610,3B,1,MERL ANDERSON,,17,USA,"Alhambra, CA","6' 2""",170 lbs,Right,Right,Pomona,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,70,70,359,296,133,39,0,8,81,119,49,19,47,0.449,0.528,0.662,112.8,17.3,0.213,0.505,1.19,0.456,0,5.9,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
34561,SP,14,FRED ARMES,,17,USA,"Lansing, MI","6' 0""",145 lbs,Left,Left,Avilla,-,Average,HS Junior,3,NEU,85-87 Mph,Normal (3/4),Normal,56,56,286,266,98,28,4,3,60,87,3,22,35,0.368,0.371,0.538,53.4,7.5,0.169,0.377,0.909,0.382,0,1.5,0,17,9,38,38,19,10,0,0,0,287.1,249,11,96,90,130,269,2.82,0.269,1.32,11.9,0.3,7.8,4.1,8.4,2.1,0,0,0,0,3.19,0,7.1,9,Slot
34023,1B,1,FRED ARMOR,,17,USA,"Wilmington, IL","5' 11""",180 lbs,Right,Left,Wilmington,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,48,48,246,195,79,28,2,8,53,71,36,11,38,0.405,0.512,0.692,76,16.3,0.287,0.503,1.205,0.397,0,4,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
33816,2B,2,IRA ARMSTRONG,,17,USA,"Boonton, NJ","5' 11""",155 lbs,Switch,Right,Boonton,-,Average,HS Junior,3,GB,84-86 Mph,Sidearm,Groundballer,21,21,109,89,39,12,1,3,23,30,16,7,16,0.438,0.519,0.697,34.7,16.4,0.258,0.507,1.215,0.444,0,1.8,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot
