ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc
33936,SP,6,ABE ABINGDON,DOUBLE A,16,USA,"Burlington, KS","5' 9""",140 lbs,Right,Right,Burlington,-,Average,HS Sophomore,3,NEU,85-87 Mph,Normal (3/4),Normal,20,20,104,101,41,11,1,3,28,40,2,4,15,0.406,0.417,0.624,26.1,10.5,0.218,0.441,1.041,0.404,0,1.1,0,18,6,12,8,5,1,0,0,0,60,47,3,18,16,25,70,2.4,0.267,1.2,10.9,0.5,7,3.8,10.5,2.8,0,0,0,0,2.82,0,1.7,2,Slot,Hard,Average
33555,C,29,NORM ABRAMS,,16,USA,"Maplewood, NJ","5' 10""",170 lbs,Right,Right,Lewisburg,-,Average,HS Sophomore,1,NEU,80-83 Mph,Normal (3/4),Normal,21,21,109,90,38,10,0,1,26,35,17,5,11,0.422,0.514,0.567,28.8,13.9,0.144,0.474,1.08,0.435,0,1.5,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
34208,C,1,CHUCK ADAMS,WAGON,16,USA,"Huntsville, AR","5' 11""",175 lbs,Switch,Right,Huntsville,-,Average,HS Sophomore,3,NEU,75-80 Mph,Normal (3/4),Normal,23,23,119,102,41,10,2,0,26,33,12,4,12,0.402,0.483,0.539,28.6,12.2,0.137,0.448,1.022,0.418,0,1.4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
33972,CF,23,CHUCK T ADAMS,,16,USA,"White Plains, NY","5' 10""",145 lbs,Switch,Right,Richmond Hill,-,Average,HS Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,25,25,125,108,42,9,0,6,27,44,11,9,15,0.389,0.452,0.639,33.3,12.9,0.25,0.459,1.091,0.379,0,1.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
33978,2B,19,CHARLIE ADAMSON,,16,USA,"Dayton, OH","5' 8""",145 lbs,Right,Right,Oakwood,-,Average,HS Sophomore,1,FB,80-83 Mph,Sidearm,Normal,22,22,113,91,41,9,0,0,27,37,15,4,9,0.451,0.545,0.549,31,14.9,0.099,0.482,1.094,0.466,0,1.6,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Low
33890,SS,12,VERLIN ALEXANDER,,16,USA,"Lexington, MO","5' 10""",140 lbs,Right,Right,Lexington,-,Average,HS Sophomore,1,EX FB,80-83 Mph,Normal (3/4),Normal,22,22,111,93,48,12,6,1,29,39,13,2,19,0.516,0.568,0.806,49.9,24.9,0.29,0.569,1.374,0.505,0,2.4,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
37211,CF,21,BILL ALLAIN,,16,USA,"Chicago, IL","5' 9""",150 lbs,Right,Right,Mount Carmel,-,Average,HS Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,22,22,112,94,44,11,2,3,26,34,12,3,16,0.468,0.532,0.723,38.7,18.6,0.255,0.517,1.256,0.461,0,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
33587,SP,11,OLIVER ALLEN,,16,USA,"Atlanta, GA","6' 1""",155 lbs,Left,Left,Layton,-,Average,HS Sophomore,4,NEU,85-87 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,5,0,0,0,0,54.2,39,1,13,9,13,61,1.48,0.257,0.95,8.9,0.2,6.4,2.1,10,4.7,0,0,0,0,2.03,0,2.2,2.2,Slot,Extremely Hard,Average
33962,C,25,HARVEY AMMERMAN,,16,USA,"Spotsylvania Courthouse, VA","5' 8""",150 lbs,Right,Right,Spotsylvania,-,Average,HS Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,25,25,128,105,42,10,2,1,23,35,18,9,13,0.4,0.496,0.562,32.1,12.9,0.162,0.453,1.058,0.432,0,1.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
33905,C,30,WILLIE AMRINE,,16,USA,"New York, NY","5' 11""",175 lbs,Left,Right,Bushwick,-,Average,HS Sophomore,1,NEU,80-83 Mph,Over the Top,Normal,22,22,114,97,39,15,1,4,27,39,12,7,20,0.402,0.46,0.701,32.7,13.4,0.299,0.478,1.161,0.393,0,1.6,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
33970,3B,25,BILL ANDERSON,,16,USA,"Columbus, OH","6' 1""",175 lbs,Right,Right,Central,-,Average,HS Sophomore,1,NEU,80-83 Mph,Normal (3/4),Normal,25,25,126,101,45,9,1,4,27,40,16,3,14,0.446,0.532,0.673,39.5,17.5,0.228,0.505,1.206,0.427,0,2.1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
33937,SP,19,SPENCE ARMSTRONG,,16,USA,"Hoboken, NJ","6' 2""",165 lbs,Right,Right,Rice,-,Average,HS Sophomore,4,NEU,86-88 Mph,Normal (3/4),Normal,23,23,119,113,42,11,0,0,27,38,2,11,11,0.372,0.385,0.469,20.9,7.4,0.097,0.367,0.854,0.408,0,0.5,0,5,2,12,8,4,1,0,0,0,60.1,47,2,20,18,30,72,2.69,0.278,1.28,11.9,0.3,7,4.5,10.7,2.4,0,0,0,0,2.89,0,1.7,1.8,Slot,Extremely Hard,Average
34221,SP,23,CHARLIE ASHMORE,,16,USA,"Derby, CT","6' 2""",155 lbs,Right,Right,Kearny,-,Average,HS Sophomore,6,GB,84-86 Mph,Normal (3/4),Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,7,2,0,0,0,92.1,68,2,21,17,26,112,1.66,0.268,1.02,9.3,0.2,6.6,2.5,10.9,4.3,0,0,0,0,1.93,0,4.1,4.2,Slot,Extremely Hard,Average
33887,SP,29,HERM AXLINE,,16,USA,"Manistique, MI","5' 11""",150 lbs,Right,Right,Manistique,-,Average,HS Sophomore,3,NEU,83-85 Mph,Over the Top,Normal,10,10,51,48,20,8,0,0,13,14,0,4,8,0.417,0.4,0.583,11.4,9.6,0.167,0.406,0.983,0.435,0,0.4,0,2,1,16,16,7,5,0,0,0,120.1,97,5,35,31,49,120,2.32,0.25,1.21,10.9,0.4,7.3,3.7,9,2.4,0,0,0,0,2.97,0,3.4,4.4,Slot,Extremely Hard,Low
33582,LF,29,GUS BAILEY,,15,USA,"Kansas City, MO","5' 7""",150 lbs,Left,Left,Lawrence,-,Average,HS Sophomore,1,NEU,80-83 Mph,Normal (3/4),Normal,25,25,127,113,48,11,0,0,29,38,10,4,11,0.425,0.472,0.522,29.7,11.5,0.097,0.438,0.995,0.432,0,1.3,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
33997,2B,20,JOE BAILEY,,16,USA,"Ithaca, NY","5' 11""",150 lbs,Right,Right,Friendship,-,Average,HS Sophomore,1,FB,80-83 Mph,Normal (3/4),Normal,26,26,133,122,56,17,5,3,37,42,6,6,25,0.459,0.489,0.754,44.9,15.6,0.295,0.515,1.243,0.465,0,2.3,0,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
